Stations_id;Bezugszeitraum;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      2532;1981-2010;        44;        73;       111;       161;       198;       195;       206;       193;       138;        95;        43;        33;      1490;
      2542;1981-2010;        75;        94;       129;       163;       193;       196;       225;       208;       154;       212;        74;        58;      1781;
      2543;1981-2010;        66;        87;       127;       167;       202;       205;       232;       214;       156;       114;        66;        49;      1685;
      2559;1981-2010;        90;       100;       138;       168;       193;       196;       227;       213;       164;       131;        87;        72;      1779;
      2597;1981-2010;        37;        66;       103;       156;       199;       204;       222;       196;       138;        88;        37;        26;      1472;
      2600;1981-2010;        46;        77;       115;       172;       207;       209;       230;       215;       155;       102;        46;        34;      1608;
      2629;1981-2010;        50;        73;       110;       167;       207;       205;       216;       195;       138;       109;        55;        38;      1563;
      2657;1981-2010;        43;        71;       110;       164;       190;       198;       211;       195;       138;        93;        44;        32;      1489;
      2667;1981-2010;        56;        81;       112;       165;       195;       194;       210;       194;       143;       107;        61;        46;      1563;
      2680;1981-2010;        41;        71;       107;       165;       201;       201;       218;       204;       144;        97;        41;        31;      1521;
      2700;1981-2010;        51;        82;       124;       180;       219;       221;       242;       226;       163;       107;        49;        41;      1704;
      2712;1981-2010;        49;        78;       136;       179;       208;       226;       249;       226;       161;        98;        53;        41;      1703;
      2750;1981-2010;        42;        71;       103;       165;       201;       196;       214;       205;       144;       101;        42;        32;      1516;
      2812;1981-2010;        55;        84;       129;       174;       204;       228;       248;       230;       170;       103;        61;        42;      1728;
      2814;1981-2010;        67;        89;       123;       166;       198;       207;       232;       214;       157;       111;        64;        47;      1675;
      2925;1981-2010;        53;        76;       112;       164;       204;       198;       210;       200;       144;       107;        52;        39;      1559;
      2928;1981-2010;        58;        76;       113;       174;       218;       205;       222;       209;       150;       116;        58;        46;      1645;
      2932;1981-2010;        59;        76;       115;       178;       225;       212;       228;       211;       152;       119;        60;        48;      1683;
      2947;1981-2010;        45;        74;       105;       160;       189;       188;       202;       189;       133;        97;        44;        34;      1460;
      2950;1981-2010;        43;        64;       115;       183;       241;       218;       236;       214;       150;       109;        52;        34;      1659;
      2953;1981-2010;        76;        88;       128;       157;       181;       200;       228;       211;       162;       120;        76;        56;      1683;
      2968;1981-2010;        50;        75;       109;       163;       192;       193;       205;       192;       135;       102;        54;        40;      1510;
      3015;1981-2010;        55;        74;       121;       184;       231;       220;       240;       219;       156;       117;        56;        43;      1716;
      3018;1981-2010;        40;        78;       123;       178;       212;       212;       234;       224;       164;       106;        47;        34;      1652;
      3023;1981-2010;        47;        71;       104;       161;       201;       186;       201;       179;       132;       103;        53;        39;      1477;
      3028;1981-2010;        54;        74;       104;       158;       188;       180;       192;       188;       130;       101;        50;        43;      1461;
      3031;1981-2010;        58;        80;       115;       166;       200;       193;       207;       196;       140;       113;        61;        45;      1574;
      3032;1981-2010;        51;        76;       126;       190;       247;       222;       234;       216;       150;       103;        57;        43;      1715;
      3093;1981-2010;        49;        72;       113;       177;       232;       210;       225;       209;       140;       110;        52;        38;      1625;
      3126;1981-2010;        59;        79;       118;       177;       226;       221;       228;       212;       154;       116;        60;        49;      1699;
      3137;1981-2010;        45;        76;       119;       174;       203;       209;       226;       213;       152;        98;        48;        36;      1599;
